2026/08/17 00:46:25.386, 97 %, 57 %, 43729 MiB, 46068 MiB, 72, 287.18 W, 1500 MHz, 7601 MHz
2026/08/17 00:46:30.462, 91 %, 50 %, 43729 MiB, 46068 MiB, 72, 290.46 W, 1575 MHz, 7601 MHz
2026/08/17 00:46:35.529, 91 %, 56 %, 43729 MiB, 46068 MiB, 72, 297.17 W, 1410 MHz, 7601 MHz
2026/08/17 00:46:40.596, 100 %, 9 %, 0 MiB, 46068 MiB, 68, 160.56 W, 1890 MHz, 7601 MHz
2026/08/17 00:46:45.676, 0 %, 0 %, 0 MiB, 46068 MiB, 63, 52.46 W, 210 MHz, 810 MHz
2026/08/17 00:46:50.751, 0 %, 0 %, 0 MiB, 46068 MiB, 59, 40.45 W, 210 MHz, 405 MHz
2026/08/17 00:46:55.850, 0 %, 0 %, 0 MiB, 46068 MiB, 57, 39.63 W, 210 MHz, 405 MHz
2026/08/17 00:47:00.906, 0 %, 0 %, 0 MiB, 46068 MiB, 56, 38.60 W, 210 MHz, 405 MHz
2026/08/17 00:47:05.972, 0 %, 0 %, 0 MiB, 46068 MiB, 54, 37.67 W, 210 MHz, 405 MHz
2026/08/17 00:47:11.056, 0 %, 0 %, 0 MiB, 46068 MiB, 53, 37.10 W, 210 MHz, 405 MHz
2026/08/17 00:47:16.132, 0 %, 0 %, 0 MiB, 46068 MiB, 52, 36.42 W, 210 MHz, 405 MHz
2026/08/17 00:47:21.208, 0 %, 0 %, 0 MiB, 46068 MiB, 50, 35.96 W, 210 MHz, 405 MHz
2026/08/17 00:47:26.279, 0 %, 0 %, 0 MiB, 46068 MiB, 49, 35.66 W, 210 MHz, 405 MHz
2026/08/17 00:47:31.339, 0 %, 0 %, 0 MiB, 46068 MiB, 48, 35.54 W, 210 MHz, 405 MHz
2026/08/17 00:47:36.395, 0 %, 0 %, 0 MiB, 46068 MiB, 47, 35.46 W, 210 MHz, 405 MHz
2026/08/17 00:47:41.460, 0 %, 0 %, 0 MiB, 46068 MiB, 46, 35.36 W, 210 MHz, 405 MHz
2026/08/17 00:47:46.517, 0 %, 0 %, 0 MiB, 46068 MiB, 45, 35.55 W, 210 MHz, 405 MHz
2026/08/17 00:47:51.583, 0 %, 0 %, 0 MiB, 46068 MiB, 45, 35.37 W, 210 MHz, 405 MHz
2026/08/17 00:47:56.670, 0 %, 0 %, 0 MiB, 46068 MiB, 44, 35.37 W, 210 MHz, 405 MHz
2026/08/17 00:48:01.745, 0 %, 0 %, 0 MiB, 46068 MiB, 43, 35.23 W, 210 MHz, 405 MHz
2026/08/17 00:48:06.815, 0 %, 0 %, 0 MiB, 46068 MiB, 43, 35.00 W, 210 MHz, 405 MHz
2026/08/17 00:48:11.879, 0 %, 0 %, 0 MiB, 46068 MiB, 42, 34.97 W, 210 MHz, 405 MHz
2026/08/17 00:48:16.936, 0 %, 0 %, 0 MiB, 46068 MiB, 41, 35.01 W, 210 MHz, 405 MHz
2026/08/17 00:48:22.004, 0 %, 0 %, 0 MiB, 46068 MiB, 41, 34.92 W, 210 MHz, 405 MHz
2026/08/17 00:48:27.100, 0 %, 0 %, 0 MiB, 46068 MiB, 41, 34.87 W, 210 MHz, 405 MHz
2026/08/17 00:48:32.178, 0 %, 0 %, 0 MiB, 46068 MiB, 40, 34.97 W, 210 MHz, 405 MHz
2026/08/17 00:48:37.276, 0 %, 0 %, 0 MiB, 46068 MiB, 40, 34.74 W, 210 MHz, 405 MHz
2026/08/17 00:48:42.332, 0 %, 0 %, 0 MiB, 46068 MiB, 39, 34.64 W, 210 MHz, 405 MHz
2026/08/17 00:48:47.395, 0 %, 0 %, 0 MiB, 46068 MiB, 39, 34.58 W, 210 MHz, 405 MHz
2026/08/17 00:48:52.450, 0 %, 0 %, 0 MiB, 46068 MiB, 39, 34.82 W, 210 MHz, 405 MHz
2026/08/17 00:48:57.503, 0 %, 0 %, 0 MiB, 46068 MiB, 38, 34.83 W, 210 MHz, 405 MHz
2026/08/17 00:49:02.581, 0 %, 0 %, 0 MiB, 46068 MiB, 38, 34.55 W, 210 MHz, 405 MHz
2026/08/17 00:49:07.650, 0 %, 0 %, 0 MiB, 46068 MiB, 38, 34.58 W, 210 MHz, 405 MHz
2026/08/17 00:49:12.723, 0 %, 0 %, 0 MiB, 46068 MiB, 38, 34.53 W, 210 MHz, 405 MHz
2026/08/17 00:49:17.791, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.60 W, 210 MHz, 405 MHz
2026/08/17 00:49:22.868, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.66 W, 210 MHz, 405 MHz
2026/08/17 00:49:27.927, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.57 W, 210 MHz, 405 MHz
2026/08/17 00:49:32.991, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.44 W, 210 MHz, 405 MHz
2026/08/17 00:49:38.063, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.32 W, 210 MHz, 405 MHz
2026/08/17 00:49:43.133, 0 %, 0 %, 0 MiB, 46068 MiB, 37, 34.39 W, 210 MHz, 405 MHz
2026/08/17 00:49:48.208, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.42 W, 210 MHz, 405 MHz
2026/08/17 00:49:53.260, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.22 W, 210 MHz, 405 MHz
2026/08/17 00:49:58.315, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.50 W, 210 MHz, 405 MHz
2026/08/17 00:50:03.368, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.45 W, 210 MHz, 405 MHz
2026/08/17 00:50:08.431, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.34 W, 210 MHz, 405 MHz
2026/08/17 00:50:13.500, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.59 W, 210 MHz, 405 MHz
2026/08/17 00:50:18.572, 0 %, 0 %, 0 MiB, 46068 MiB, 36, 34.66 W, 210 MHz, 405 MHz
2026/08/17 00:50:23.656, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.56 W, 210 MHz, 405 MHz
2026/08/17 00:50:28.729, 0 %, 0 %, 0 MiB, 46068 MiB, 35, 34.51 W, 210 MHz, 405 MHz
